2016-12-20 16:39:19.477697

topic-folder:/home/ec2-user/data/topics/
cl-file:/home/ec2-user/git/tfidf/result-new/b2-1.txt
cl-floder:/home/ec2-user/data/lsaclass/
zipf:0.1
stype[0(tfidf)/1(tfidf2)/2(lsa)/3(lda)]:2
dtype[<0(diff*rand)/0(diff)/1(same)/>=2(diff*same)]:-10
output-floder:/home/ec2-user/git/userquery/result-new

三菱マテリアル株式会社

@/home/ec2-user/data/topics/3713 255
@/home/ec2-user/data/topics/4278 255
@/home/ec2-user/data/topics/3367 256
@/home/ec2-user/data/topics/3491 256
@/home/ec2-user/data/topics/1634 256
@/home/ec2-user/data/topics/3986 257
@/home/ec2-user/data/topics/4484 257
@/home/ec2-user/data/topics/1342 257
@/home/ec2-user/data/topics/1799 257
@/home/ec2-user/data/topics/3956 257
@/home/ec2-user/data/topics/4458 258
@/home/ec2-user/data/topics/4969 259
@/home/ec2-user/data/topics/4155 259
@/home/ec2-user/data/topics/1783 259
@/home/ec2-user/data/topics/4309 260
@/home/ec2-user/data/topics/1122 261
@/home/ec2-user/data/topics/4059 262
@/home/ec2-user/data/topics/3403 262
@/home/ec2-user/data/topics/4134 262
@/home/ec2-user/data/topics/3812 263
@/home/ec2-user/data/topics/4646 263
@/home/ec2-user/data/topics/4247 264
@/home/ec2-user/data/topics/2168 265
@/home/ec2-user/data/topics/1750 265
@/home/ec2-user/data/topics/2150 265
@/home/ec2-user/data/topics/1567 266
@/home/ec2-user/data/topics/4947 267
@/home/ec2-user/data/topics/1327 267
@/home/ec2-user/data/topics/4904 267
@/home/ec2-user/data/topics/4447 267
@/home/ec2-user/data/topics/2217 268
@/home/ec2-user/data/topics/3706 268
@/home/ec2-user/data/topics/4216 268
@/home/ec2-user/data/topics/4665 269
@/home/ec2-user/data/topics/4728 270
@/home/ec2-user/data/topics/1432 271
@/home/ec2-user/data/topics/4027 271
@/home/ec2-user/data/topics/4515 271
@/home/ec2-user/data/topics/4827 271
@/home/ec2-user/data/topics/4877 271
@/home/ec2-user/data/topics/3972 272
@/home/ec2-user/data/topics/4956 272
@/home/ec2-user/data/topics/3942 272
@/home/ec2-user/data/topics/4857 272
@/home/ec2-user/data/topics/1507 272
@/home/ec2-user/data/topics/4721 272
@/home/ec2-user/data/topics/4238 273
@/home/ec2-user/data/topics/4850 274
@/home/ec2-user/data/topics/4017 275
@/home/ec2-user/data/topics/4582 276
@/home/ec2-user/data/topics/4063 276
@/home/ec2-user/data/topics/2230 277
@/home/ec2-user/data/topics/4716 277
@/home/ec2-user/data/topics/3627 277
@/home/ec2-user/data/topics/3510 277
@/home/ec2-user/data/topics/3544 277
@/home/ec2-user/data/topics/1736 277
@/home/ec2-user/data/topics/4838 277
@/home/ec2-user/data/topics/3920 278
@/home/ec2-user/data/topics/4138 278
@/home/ec2-user/data/topics/4313 279
@/home/ec2-user/data/topics/4561 280
@/home/ec2-user/data/topics/1038 281
@/home/ec2-user/data/topics/4990 281
@/home/ec2-user/data/topics/1132 281
@/home/ec2-user/data/topics/1330 281
@/home/ec2-user/data/topics/4679 281
@/home/ec2-user/data/topics/4338 281
@/home/ec2-user/data/topics/1844 282
@/home/ec2-user/data/topics/1256 283
@/home/ec2-user/data/topics/1725 283
@/home/ec2-user/data/topics/1661 283
@/home/ec2-user/data/topics/1595 284
@/home/ec2-user/data/topics/4142 285
@/home/ec2-user/data/topics/4537 286
@/home/ec2-user/data/topics/2109 287
@/home/ec2-user/data/topics/1116 287
@/home/ec2-user/data/topics/1112 288
@/home/ec2-user/data/topics/1565 289
@/home/ec2-user/data/topics/1045 289
@/home/ec2-user/data/topics/1907 289
@/home/ec2-user/data/topics/4913 289
@/home/ec2-user/data/topics/4227 289
@/home/ec2-user/data/topics/1612 290
@/home/ec2-user/data/topics/3639 291
@/home/ec2-user/data/topics/1277 291
@/home/ec2-user/data/topics/4595 291
@/home/ec2-user/data/topics/3399 292
@/home/ec2-user/data/topics/1194 292
@/home/ec2-user/data/topics/1928 292
@/home/ec2-user/data/topics/1817 293
@/home/ec2-user/data/topics/4460 293
@/home/ec2-user/data/topics/3470 294
@/home/ec2-user/data/topics/3938 294
